id,name,email,password,admin,department_id,email_notification,,
1,管理者,admin@example.com,admin@example.com,TRUE,3,FALSE,,
2,古閑,koga@example.com,koga@example.com,FALSE,3,FALSE,,
3,三橋,mituhashi@example.com,mituhashi@example.com,FALSE,3,FALSE,,
4,川島,kawashima@example.com,kawashima@example.com,FALSE,3,FALSE,,
5,岩崎,iwasaki@example.com,iwasaki@example.com,FALSE,3,FALSE,,
6,北田,kitada@example.com,kitada@example.com,FALSE,3,FALSE,,
7,大山,oyama@example.com,oyama@example.com,FALSE,3,FALSE,,利用可能な部署ID
8,松永,matsunaga@example.com,matsunaga@example.com,FALSE,3,FALSE,,1: 総務管理部
9,高橋,takahashi@example.com,takahashi@example.com,FALSE,3,FALSE,,2: 営業開発推進部
10,小原,ohara@example.com,ohara@example.com,FALSE,3,FALSE,,3: 制作部
11,名雪,nayuki@example.com,nayuki@example.com,FALSE,3,FALSE,,
12,佐藤瞳,satouhi@example.com,satouhi@example.com,FALSE,3,FALSE,,
13,佐藤加,satouka@example.com,satouka@example.com,FALSE,3,FALSE,,
14,中川内,nakagawachi@example.com,nakagawachi@example.com,FALSE,3,FALSE,,
15,南,minami@example.com,minami@example.com,FALSE,3,FALSE,,
16,安塚,yasuzuka@example.com,yasuzuka@example.com,FALSE,2,FALSE,,
17,仲里,nakazato@example.com,nakazato@example.com,FALSE,2,FALSE,,
18,柴田,sibata@example.com,sibata@example.com,FALSE,2,FALSE,,
19,田中,tanaka@example.com,tanaka@example.com,FALSE,2,FALSE,,
20,須佐,susa@example.com,susa@example.com,FALSE,2,FALSE,,
21,滝田,takita@example.com,takita@example.com,FALSE,2,FALSE,,
22,金子,kaneko@example.com,kaneko@example.com,FALSE,2,FALSE,,
23,鈴谷,suzuya@example.com,suzuya@example.com,FALSE,2,FALSE,,
24,山岸,yamagisi@example.com,yamagisi@example.com,FALSE,1,FALSE,,
25,福田,fukuda@example.com,fukuda@example.com,FALSE,1,FALSE,,
26,奥主,okunushi@example.com,okunushi@example.com,FALSE,1,FALSE,,
27,渡邉,watanabe@example.com,watanabe@example.com,FALSE,1,FALSE,,
28,石渡,isiwatari@example.com,isiwatari@example.com,FALSE,1,FALSE,,
29,会長,kaityou@example.com,kaityou@example.com,FALSE,1,FALSE,,
